,,,Salary,Salary,Salary,Salary,Salary,Salary,,#NAME?
105,Caris LeVert,ATL,"$16,615,384 ",,,,,,"$16,615,384 ",leverca01
106,Luguentz Dort,OKC,"$16,500,000 ","$17,722,222 ","$17,722,222 ",,,,"$34,222,222 ",dortlu01
107,Tim Hardaway Jr.,DET,"$16,193,183 ",,,,,,"$16,193,183 ",hardati02
108,Klay Thompson,DAL,"$15,873,016 ","$16,666,667 ","$17,460,317 ",,,,"$50,000,000 ",thompkl01
109,Deni Avdija,POR,"$15,625,000 ","$14,375,000 ","$13,125,000 ","$11,875,000 ",,,"$55,000,000 ",avdijde01
110,Grayson Allen,PHO,"$15,625,000 ","$16,875,000 ","$18,125,000 ","$19,375,000 ",,,"$50,625,000 ",allengr01
111,P.J. Washington,DAL,"$15,500,000 ","$14,152,174 ",,,,,"$29,652,174 ",washipj01
112,Max Strus,CLE,"$15,212,068 ","$15,936,452 ","$16,660,836 ",,,,"$47,809,356 ",strusma01
113,Isaiah Stewart,DET,"$15,000,000 ","$15,000,000 ","$15,000,000 ","$15,000,000 ",,,"$45,000,000 ",stewais01
114,Dorian Finney-Smith,LAL,"$14,924,167 ","$15,378,480 ",,,,,"$14,924,167 ",finnedo01
115,Mitchell Robinson,NYK,"$14,318,182 ","$12,954,546 ",,,,,"$27,272,728 ",robinmi01
116,Jordan Clarkson,UTA,"$14,092,577 ","$14,285,714 ",,,,,"$28,378,291 ",clarkjo01
117,Onyeka Okongwu,ATL,"$14,000,000 ","$15,000,000 ","$16,120,000 ","$16,880,000 ",,,"$62,000,000 ",okongon01
118,Naz Reid,MIN,"$13,986,432 ","$15,022,464 ",,,,,"$13,986,432 ",reidna01
119,Cade Cunningham,DET,"$13,940,809 ","$38,661,750 ","$41,754,690 ","$44,847,630 ","$47,940,570 ","$51,033,510 ","$238,178,959 ",cunnica01
120,Daniel Gafford,DAL,"$13,394,160 ","$14,386,320 ",,,,,"$27,780,480 ",gaffoda01
121,Grant Williams,CHO,"$13,025,250 ","$13,645,500 ","$14,265,750 ",,,,"$40,936,500 ",willigr01
122,Dennis Schröder,DET,"$13,025,250 ",,,,,,"$13,025,250 ",schrode01
123,Isaiah Joe,OKC,"$12,991,650 ","$12,362,338 ","$11,323,006 ","$11,323,006 ",,,"$36,676,994 ",joeis01
124,Herbert Jones,NOP,"$12,976,362 ","$13,937,574 ","$14,898,786 ",,,,"$41,812,722 ",joneshe01
125,Austin Reaves,LAL,"$12,976,362 ","$13,937,574 ","$14,898,786 ",,,,"$26,913,936 ",reaveau01
126,Obi Toppin,IND,"$12,975,000 ","$14,000,000 ","$15,000,000 ","$16,025,000 ",,,"$58,000,000 ",toppiob01
127,Cole Anthony,ORL,"$12,900,000 ","$13,100,000 ","$13,100,000 ",,,,"$26,000,000 ",anthoco01
128,De'Anthony Melton,BRK,"$12,822,000 ",,,,,,"$12,822,000 ",meltode01
129,Kelly Olynyk,NOP,"$12,804,878 ","$13,445,122 ",,,,,"$26,250,000 ",olynyke01
130,Victor Wembanyama,SAS,"$12,768,960 ","$13,376,880 ","$16,868,246 ",,,,"$26,145,840 ",wembavi01
131,Josh Green,CHO,"$12,654,321 ","$13,666,667 ","$14,679,012 ",,,,"$41,000,000 ",greenjo02
132,Richaun Holmes,WAS,"$12,648,321 ","$13,280,737 ",,,,,"$12,648,321 ",holmeri01
133,Steven Adams,HOU,"$12,600,000 ",,,,,,"$12,600,000 ",adamsst01
134,Bobby Portis,MIL,"$12,578,286 ","$13,445,754 ",,,,,"$12,578,286 ",portibo01
135,Zaccharie Risacher,ATL,"$12,569,040 ","$13,197,720 ","$13,826,040 ","$17,434,637 ",,,"$25,766,760 ",risacza01
136,Brandon Clarke,MEM,"$12,500,000 ","$12,500,000 ","$12,500,000 ",,,,"$37,500,000 ",clarkbr01
137,Marvin Bagley III,MEM,"$12,500,000 ",,,,,,"$12,500,000 ",baglema01
138,Jalen Green,HOU,"$12,483,048 ","$33,333,333 ","$36,000,000 ","$36,000,000 ",,,"$81,816,381 ",greenja05
139,Robert Williams,POR,"$12,428,571 ","$13,285,713 ",,,,,"$25,714,284 ",williro04
140,Paolo Banchero,ORL,"$12,160,800 ","$15,334,769 ",,,,,"$27,495,569 ",banchpa01
141,Coby White,CHI,"$12,000,000 ","$12,888,889 ",,,,,"$24,888,889 ",whiteco01
142,Wendell Carter Jr.,ORL,"$11,950,000 ","$10,850,000 ","$18,102,000 ","$19,550,160 ","$20,998,320 ",,"$60,452,160 ",cartewe01
143,Ivica Zubac,LAC,"$11,743,210 ","$18,102,000 ","$19,550,160 ","$20,998,320 ",,,"$70,393,690 ",zubaciv01
144,P.J. Tucker,TOR,"$11,539,000 ",,,,,,"$11,539,000 ",tuckepj01
145,Donte DiVincenzo,MIN,"$11,445,000 ","$11,990,000 ","$12,535,000 ",,,,"$35,970,000 ",divindo01
146,Brandon Miller,CHO,"$11,424,600 ","$11,968,800 ","$15,104,626 ",,,,"$23,393,400 ",millebr02
147,Terance Mann,ATL,"$11,423,077 ","$15,500,000 ","$15,500,000 ","$16,000,000 ",,,"$58,423,077 ",mannte01
148,Alex Sarr,WAS,"$11,245,680 ","$11,808,240 ","$12,370,680 ","$15,611,798 ",,,"$23,053,920 ",sarral01
149,Evan Mobley,CLE,"$11,227,657 ","$38,661,750 ","$41,754,690 ","$44,847,630 ","$47,940,570 ","$51,033,510 ","$235,465,807 ",mobleev01
150,Larry Nance Jr.,ATL,"$11,205,000 ",,,,,,"$11,205,000 ",nancela02
151,Matisse Thybulle,POR,"$11,025,000 ","$11,550,000 ",,,,,"$11,025,000 ",thybuma01
152,Aaron Nesmith,IND,"$11,000,000 ","$11,000,000 ","$11,000,000 ",,,,"$33,000,000 ",nesmiaa01
153,Gabe Vincent,LAL,"$11,000,000 ","$11,500,000 ",,,,,"$22,500,000 ",vincega01
154,Maxi Kleber,LAL,"$11,000,000 ","$11,000,000 ",,,,,"$22,000,000 ",klebima01
155,Moritz Wagner,ORL,"$11,000,000 ","$11,000,000 ",,,,,"$11,000,000 ",wagnemo01
156,Chet Holmgren,OKC,"$10,880,640 ","$13,731,368 ",,,,,"$24,612,008 ",holmgch01
