Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48?,OBPM,DBPM,BPM,VORP,Awards,Player-additional
127,Spencer Dinwiddie,30,2TM,PG,76,52,2152,11.7,0.543,0.575,0.328,1.5,9,5.2,22.7,1.2,0.9,11.1,16.6,2.3,1.3,3.6,0.081,-1.3,-0.6,-1.9,0.1,,dinwisp01
128,Saddiq Bey,24,ATL,SF,63,51,2062,13.1,0.549,0.514,0.291,8.5,13.4,10.9,6,1.2,0.5,6.4,17,2.8,0.7,3.5,0.081,0.1,-2,-1.8,0.1,,beysa01
129,Pat Connaughton,31,MIL,SF,76,3,1676,9.6,0.574,0.686,0.167,3.4,12,7.8,12,1.1,1,11.6,10.9,1.6,1.2,2.8,0.08,-1.6,0,-1.6,0.2,,connapa01
130,Bogdan Bogdanovi?,31,ATL,SG,79,33,2401,14.7,0.569,0.583,0.149,2.3,10.3,6.2,14.9,1.9,1,8.7,22.3,2.8,1.2,3.9,0.079,0.9,-0.7,0.2,1.4,6MOY-5,bogdabo01
131,Coby White,23,CHI,PG,79,78,2881,14.5,0.57,0.46,0.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,3.1,1.6,4.7,0.078,0.7,-1.3,-0.7,0.9,,whiteco01
132,Buddy Hield,31,2TM,SF,84,42,2160,13.3,0.578,0.668,0.069,3.1,10.9,7,14.5,1.6,1.6,10.5,19.2,1.9,1.6,3.5,0.077,1,-0.6,0.4,1.3,,hieldbu01
133,Devin Vassell,23,SAS,SG,68,62,2248,15.7,0.578,0.422,0.19,1.3,11.3,6.3,19.1,1.5,0.8,8.6,23.5,2,1.6,3.6,0.077,0.9,-0.9,0,1.1,,vassede01
134,Jaden McDaniels,23,MIN,SF,72,71,2105,9.4,0.571,0.406,0.126,3.2,8.7,6,6.8,1.5,1.8,11.6,15.7,0.3,3.1,3.4,0.077,-3.3,0.7,-2.6,-0.3,,mcdanja02
135,Klay Thompson,33,GSW,SF,77,63,2284,13.9,0.576,0.611,0.121,1.7,10.2,6,11.2,1.1,1.4,8.9,24.2,1.8,1.7,3.6,0.075,1.1,-1.5,-0.4,0.9,,thompkl01
136,RJ Barrett,23,2TM,SG,58,58,1838,16.4,0.58,0.284,0.331,3.1,16,9.5,16.7,0.8,1.1,11.1,26.5,1.6,1.2,2.9,0.075,0.7,-1.5,-0.8,0.6,,barrerj01
137,OG Anunoby,26,2TM,SF,50,50,1702,12.8,0.595,0.463,0.154,3,10.6,6.8,9,2,1.9,11.6,17.6,1.1,1.5,2.6,0.073,-1,0.5,-0.6,0.6,,anunoog01
